UNIQID,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,CompletionInfo_SN,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Gender_SN,SexOrient_DC,Straight_DC,Mono_Multi_DC,Race_DB_POC,Race_DB_Minoritized,Race_DB,Disability_macro_MH,Disability_select,Religion,Religion_belief_HH,Religion_Jewish_HH,Religion_organized_HH,Linguist_selfID_SN,Subfields,Theoretical,Theoretical_number_HH,Theoretical_genfun_HH,Methods,Methods_number_HH,Methods_qual_HH,Methods_expcorp_HH,Methods_fieldcomm_HH,Dept_affil,Dept_affil_text,Q21_29_TEXT,Lang_area_dept,Dept_langarea_HH,Home_dept_DC,Home_dept_gen_HH,Ling_Dept_DC,Lang_area_home_dept,Dept_location,Dep_loc_SN,International_grad,Degree_in_progress,Highest_degree_MH,Degree_time,Permanent_position,Current_position,Lab_research,Fieldwork_research,Lesser_studied_research,Group_membership_research,English_L1,Minority_lang,Bias_incidents,Bias_incidents_target,Behavior_correct,Behavior_heard,Biased_behavior,Biased_behavior_told,Bias_incidents_category,Bias_incidents_category_text,Bias_incidents_bystander,Bias_incidents_bystander_action,Bias_incident_outcome,Isolation_professional_identity,Isolation_personal_identity,Climate_avoid,Not_linguist,Climate_linguistics,Climate_subfield_main,Climate_subfield_second,Climate_linguistics_change,Climate_linguistics_change_time,Climate_subfield_main_change,Climate_subfield_main_change_time,Climate_subfield_second_change,Climate_subfield_second_change_time,Children,Dependents_degree,Parental_leave,Relationship,Continent_childhood,Continent_reside
169,1/3/18 20:50,1/3/18 21:13,IP Address,0,27,FALSE,NONE,1/18/18 0:24,R_2DSy7kxKx9spBRI,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
170,1/3/18 21:02,1/3/18 21:22,IP Address,100,887,TRUE,ALL,1/9/18 13:09,R_1IWQnX3oNhVoSQc,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Latter Day Saints/Mormon,Y,N,Y,"Yes, solely","Cognitive-functional linguistics,	Pragmatics,Semantics","Cognitive ,Functional",2,F,Qualitative methods,1,Y,O,N,Modern Languages,NA,NA,NA,,Modern Languages,Language,N,,Europe,Europe,No,No,"	Ph.D","	20 - 30 years ago",Yes,Full professor,I have never worked in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,"	Yes",No,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,"		Gender,Gender identity/presentation,		Nationality	,		Nonnative English speakers,Particular subfields/other academics	,		Religion",NA,Yes,No,No,"		Yes (other)","		Yes (other)","		Starting a collaboration		,Social events in your department,		Conference/workshop dinner,		Other social events at a conference/workshop",No,Fair,Good,Good,gotten better,5-10 years,gotten better,5-10 years,gotten better,5-10 years,Yes,Yes,"	No",Married,"	Europe","	Europe"
171,1/3/18 21:26,1/3/18 21:39,IP Address,100,992,TRUE,ALL,1/23/18 13:35,R_11YODTo7yEp1yMY,anonymous,EN,Male,Gay/Lesbian,N,Monosexual-gay/lesbian,POC,,Asian,No,N/A,Agnostic,Y,N,N,"Yes, in addition to other descriptors","Phonetics,Phonology","Formal,Functional,Generative",3,B,"Computational methods,Experimental methods, Field methods",3,N,E,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,No,"	Ph.D","	20 - 30 years ago",Yes,You don't. My position is (please specify),I have in the past worked in a lab-based research group,I have in the past done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",No,Sometimes,Never,Often,Sometimes,Rarely,Never,"Particular subfields/other academics	,Race,Sexual orientation		",NA,No,,Yes,"		No",Not sure,"Conference/workshop presentation,		Committee membership",No,Fair,Good,NR,stayed the same,20-30 years,stayed the same,20-30 years,NR,NR,No,No,"	No","	Single","North America, including the Caribbean ","North America, including the Caribbean "
172,1/3/18 21:38,1/3/18 23:43,IP Address,46,149,FALSE,NONE,1/17/18 19:44,R_1GJisKwlXWkyQi5,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
173,1/3/18 21:53,1/3/18 22:03,IP Address,100,1633,TRUE,ALL,1/4/18 19:05,R_2QK7Zay2ZrRh7pv,anonymous,EN,Other,Asexual,N,Asexual-Umbrella,White,M,Jewish,Prefer not to answer,N/A,Agnostic,Y,N,N,"Yes, solely","Computational linguistics,Corpus linguistics",NR,NR,NR,"Computational methods, Corpus methods",2,N,C,N,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,Yes,B.A. / B.S.,Within the past 5 years,No,Graduate student,I have in the past worked in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,No,"	Yes",No,Rarely,Rarely,Sometimes,Rarely,Never,Never,"		Ethnic groups,		Gender,Sexual orientation		",NA,NA,,,"		No",Not sure,Other (please specify),No,Good,Good,NR,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NA,No,No,NA,"	Single","North America, including the Caribbean ","North America, including the Caribbean "
174,1/3/18 21:56,1/3/18 22:11,IP Address,100,2406,TRUE,ALL,1/4/18 15:20,R_aYkyhnd5Z972II9,anonymous,EN,Female,Bisexual,N,Multisexual+Queer,White,,White,No,N/A,Atheist,N,N,N,"Yes, solely","Computational linguistics,Corpus linguistics,	Language contact,Language variation,Phonetics,Phonology,Sociolinguistics ","Cognitive ,Generative,Usage-based",3,G,"Community-engaged research,Computational methods, Corpus methods,Experimental methods, Field methods",5,N,B,Y,"Language/Area-specific department (click to receive more options in next question),Modern Languages",NA,NA,Romance languages/studies,Romance,Romance languages/studies,Language,N,,"North America, including the Caribbean",North America,No,No,"	Ph.D","	20 - 30 years ago",Yes,Full professor,I currently work in a lab-based research group,I have in the past done fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",No,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Never,"		Gender,Sexual orientation		",NA,Yes,No,Yes,Not sure,"		No",Social events in your department,No,Fair,Very good,Fair,gotten better,20-30 years,I don't know/can't say,NA,stayed the same,NR,No,No,"	No",Domestic partner/Long-term relationship,"North America, including the Caribbean ","North America, including the Caribbean "
175,1/3/18 22:09,1/3/18 23:29,IP Address,11,163,FALSE,NONE,1/21/18 1:14,R_2ZNvT3OHW4N6QMx,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
176,1/3/18 22:11,1/3/18 22:17,IP Address,100,685,TRUE,ALL,1/16/18 16:35,R_UiL7afbChEzzpYt,anonymous,EN,Female,Queer,N,Multisexual+Queer,White,,White,No,N/A,Christian,Y,N,Y,"Yes, in addition to other descriptors","Cognitive science,Psychology of Language",NR,NR,NR,"Experimental methods, Qualitative methods",2,Y,E,N,"Linguistics,Modern Languages",NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,Yes,No,"	Ph.D","	10 - 20 years ago",Yes,Teaching professor,I have in the past worked in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,"	Yes",No,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,"		Ethnic groups,Gender identity/presentation,		Nonnative English speakers,		Religion,Sexual orientation		",NA,Yes,Not sure,No,Not sure,Not sure,"		Joining a lab/research group,Social events in your department,Academic events in your department (colloquium talks, etc)",Yes,Fair,NR,NR,I don't know/can't say,NA,NR,NR,NR,NR,Yes,No,Yes,Married,"North America, including the Caribbean ","North America, including the Caribbean "
177,1/3/18 22:15,1/3/18 23:16,IP Address,4,73,FALSE,NONE,1/23/18 13:14,R_2X4Gar6TmDoqQJV,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
178,1/3/18 22:23,1/4/18 20:07,IP Address,100,1013,TRUE,ALL,1/12/18 9:25,R_1OOISjNtRXD8YKz,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","Corpus linguistics,Historical linguistics,	Morphology,Sociolinguistics ","Functional,Usage-based",2,F,"Computational methods, Corpus methods, Qualitative methods",3,Y,C,N,Other (please specify),NA,Digital Humanities,NA,,Other,Interdisciplinary,N,,Europe,Europe,No,No,"	Ph.D",Within the past 5 years,No,Postdoctoral scholar,I currently work in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,No,No,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,"Age	,		Ethnic groups,		Gender,		Nationality	,		Nonnative English speakers,		Other language groups,Particular subfields/other academics	,		Religion",NA,Yes,Not sure,No,"		No","		No",Social events in your department,No,Fair,Fair,Good,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NR,No,No,"	No",Married,"	Europe","	Europe"
179,1/3/18 22:29,1/3/18 22:33,IP Address,76,667,FALSE,ALL,1/18/18 0:23,R_xzJa0wZwxoJXPqh,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,POC,,Asian,No,N/A,Spiritual but not religious,Y,N,N,"Yes, solely","Second language acquisition,Syntax","Cognitive ,Formal,Generative",3,G,Qualitative methods,1,Y,O,N,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,Yes,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,Graduate student,I have never worked in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,Yes,No,No,Rarely,Rarely,Never,Never,Rarely,Never,"		Ethnic groups,		Gender,Gender identity/presentation,		Nationality	,		Nonnative English speakers,Race,Sexual orientation		,		Skin color",NA,NA,,,"		No",Not sure,"Social events in your department,		Other social events at a conference/workshop,		Informal meetings",No,Good,Good,Good,stayed the same,< 5 years,stayed the same,< 5 years,stayed the same,< 5 years,NR,NR,,NR,NR,NR
180,1/3/18 22:45,1/3/18 22:46,IP Address,46,78253,FALSE,LingDemo,1/18/18 20:08,R_Tud5IzrVAZy3i4V,anonymous,EN,Female,Gay/Lesbian,N,Monosexual-gay/lesbian,White,,White,Yes,"Other physical disabilities,Would you like to be more specific?",Atheist,N,N,N,"Yes, in addition to other descriptors","Discourse analysis,Language variation,Sociolinguistics ",Usage-based,1,O,Qualitative methods,1,Y,O,N,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,Australia,Other,No,Yes,B.A. / B.S.,Within the past 5 years,No,Graduate student,I have never worked in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",No,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
181,1/3/18 22:51,1/3/18 23:02,IP Address,46,190,FALSE,LingDemo,1/26/18 11:50,R_3kFgfHTh9EfZrXw,anonymous,EN,Other,Asexual,N,Asexual-Umbrella,POC,,Multiracial,No,N/A,Agnostic,Y,N,N,"Yes, in addition to other descriptors","Cognitive science,Computational linguistics,Discourse analysis",Cognitive,1,O,"Computational methods, Corpus methods,Experimental methods",3,N,B,N,Cognitive Science,NA,NA,NA,,Psychology,Psych/CogSci,N,,"North America, including the Caribbean",North America,No,Yes,B.A. / B.S.,Within the past 5 years,No,Graduate student,I currently work in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,"	Yes",Yes,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
182,1/3/18 22:57,1/3/18 23:02,IP Address,100,506,TRUE,ALL,1/6/18 12:36,R_sGqLN2tDknZZh2p,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","Cognitive science,Phonetics,Psychology of Language,Sociolinguistics ","Cognitive ,Functional",2,F,"Computational methods,Experimental methods",2,N,E,N,Computer Science,NA,NA,NA,,Cognitive Science,Psych/CogSci,N,,Europe,Europe,Yes,No,"	Ph.D",Within the past 5 years,No,Postdoctoral scholar,I currently work in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,"	Yes",No,Rarely,Rarely,Never,Sometimes,Sometimes,Sometimes,"		(Dis)ability status,		Ethnic groups,Gender identity/presentation,		Religion,Sexual orientation		,		Skin color",NA,Yes,No,Yes,"		No","		No",NR,Yes,Good,Good,Good,stayed the same,< 5 years,stayed the same,< 5 years,stayed the same,< 5 years,No,No,"	No",Domestic partner/Long-term relationship,"	Europe","	Europe"
183,1/3/18 23:07,1/3/18 23:07,IP Address,100,647,TRUE,ALL,3/2/18 18:39,R_3KC7VOhgF69KcEi,anonymous,EN,Other,Bisexual,N,Multisexual+Queer,White,,White,No,N/A,Atheist,N,N,N,"Yes, solely","Discourse analysis,	Linguistic Anthropology,Sociolinguistics ",You don't,1,O,Ethnographic methods,1,N,O,Y,"Linguistics,Anthropology,Other (please specify)",NA,Sociology,NA,,Linguistics,Linguistics,Y,,Europe,Europe,Yes,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,Graduate student,I have in the past worked in a lab-based research group,I currently do fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,No,"	Yes",Yes,Sometimes,Sometimes,Sometimes,Often,Rarely,Never,"		Gender",NA,Yes,Not sure,No,"		No","		Yes, I have been excluded (perhaps intentionally)",NR,No,Very good,Very good,Very bad,gotten better,5-10 years,gotten better,5-10 years,gotten worse,< 5 years,NR,NR,,NR,NR,NR
184,1/3/18 23:18,1/3/18 23:18,IP Address,100,844,TRUE,ALL,2/27/18 3:50,R_3CNqhoDqbEbIYND,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Agnostic,Y,N,N,"Yes, in addition to other descriptors","Cognitive-functional linguistics,Corpus linguistics,Interpreting or Translation,Signed language linguistics","Cognitive ,Functional,Usage-based",3,F,"Community-engaged research, Corpus methods",2,N,C,Y,"Language/Area-specific department (click to receive more options in next question),Communication",NA,NA,Other (please specify),Other,Communication,Interdisciplinary,N,,Europe,Europe,No,No,"	M.A. / M.S. / M. Ed.","	5 - 10 years ago",Yes,"	Lecturer (permanent position)",I have never worked in a lab-based research group,I have in the past done fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,Yes,No,No,Often,Rarely,Sometimes,Sometimes,Rarely,Never,"		Nonnative English speakers,		Other language groups",NA,Yes,Not sure,No,"		No","		No",Social events in your department,No,Fair,Good,Good,stayed the same,NA,gotten better,< 5 years,gotten better,< 5 years,Yes,No,Yes,Married,"	Europe","	Europe"
185,1/3/18 23:38,1/4/18 14:52,IP Address,100,1748,TRUE,ALL,1/10/18 20:37,R_1eJjWA2HanQPjdy,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","Cognitive science,	Language contact,Language variation,	Morphosyntax,Syntax",Generative,1,G,"Experimental methods, Field methods, Site-based research",3,N,E,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,Graduate student,I have never worked in a lab-based research group,I have in the past done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",Yes,Sometimes,Rarely,Rarely,Often,Rarely,Never,"Age	,		Gender,		Nonnative English speakers,Particular subfields/other academics	",NA,NA,,,Not sure,"		No","Social events in your department,		Informal meetings",No,Fair,Fair,Fair,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NA,No,No,NA,"	Single","North America, including the Caribbean ","North America, including the Caribbean "
186,1/3/18 23:48,1/4/18 0:26,IP Address,1,420,FALSE,NONE,1/19/18 20:27,R_1FwzWexTtPLFpD2,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
187,1/3/18 23:53,1/3/18 23:54,IP Address,23,239,FALSE,LingDemo,1/18/18 17:19,R_4HewC2pms4vaXGF,anonymous,EN,Female,Bisexual,N,Multisexual+Queer,POC,,Multiracial,Yes,Deaf / hard-of-hearing,"Buddhist ,Catholic,Spiritual but not religious",Y,N,N,"Yes, in addition to other descriptors","Applied linguistics,Educational linguistics,Second language acquisition",Usage-based,1,O,"Community-engaged research, Qualitative methods",2,Y,O,Y,"Linguistics,Education",NA,NA,NA,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
188,1/3/18 23:55,1/4/18 0:32,IP Address,1,176,FALSE,NONE,1/24/18 23:25,R_1PXy17VfnGvLk9I,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
189,1/3/18 23:56,1/3/18 23:57,IP Address,100,732,TRUE,ALL,1/4/18 5:40,R_2YyzI91T6e6nsXS,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Agnostic,Y,N,N,"Yes, in addition to other descriptors","Applied linguistics,Sociolinguistics ",Usage-based,1,O,"Community-engaged research, Corpus methods,Ethnographic methods,Experimental methods, Field methods, Qualitative methods, Site-based research",7,Y,B,Y,Language/Area-specific department (click to receive more options in next question),NA,NA,Germanic languages/studies,Germanic,Education,Interdisciplinary,N,,Europe,Europe,No,No,"	Ph.D",Within the past 5 years,Yes,"	Associate professor (tenured)",I have never worked in a lab-based research group,I have in the past done fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,Yes,No,Yes,Rarely,Never,Rarely,Rarely,Rarely,Never,"Age	,		Gender,Sexual orientation		",NA,NA,,,"		No","		No",NR,No,Good,Very good,Very good,gotten better,NA,gotten better,NA,gotten better,NR,Yes,Yes,Yes,Married,"	Europe","	Europe"
190,1/4/18 0:11,1/4/18 0:22,IP Address,100,1462,TRUE,ALL,3/28/18 5:05,R_24Au8jM0fuBiBq6,anonymous,EN,Female,Queer,N,Multisexual+Queer,White,,White,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","Cognitive science,Gesture studies,	First language acquisition,	Language evolution,Psychology of Language,Signed language linguistics","Cognitive ,Usage-based",2,O,"Community-engaged research,Experimental methods, Field methods",3,N,E,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,Europe,Europe,No,No,"	Ph.D",Within the past 5 years,No,Postdoctoral scholar,I have in the past worked in a lab-based research group,I currently do fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",No,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,"		(Dis)ability status,		Ethnic groups,		Gender,		Nonnative English speakers,Race,		Skin color",NA,Yes,Not sure,No,"		Yes, I have been excluded (perhaps intentionally)","		Yes, I have been excluded (perhaps intentionally)","		Starting a collaboration		,		Committee membership",Yes,Fair,Fair,Good,I don't know/can't say,< 5 years,gotten worse,5-10 years,stayed the same,5-10 years,Yes,Yes,"	No; it was not available",Married,"North America, including the Caribbean ","	Europe"
